id,nom,marque,caracteristiques,prix,API  prises en charge,Accessoires inclus,Affichage,Alimentation,Ancrable,Appareil d'entrée,Avertissement sur les couleurs de l'image,Batterie,Cache par processeur,Capteurs,Caractéristiques,Caractéristiques principales du processeur,Cartes mémoire flash prises en charge,Clavier,Clavier numérique,Contrôleur de stockage,Contrôleur graphique,Copilot+ PC,Couleur,Couleur du boîtier,Dimensions (LxPxH) - tablette,Disque dur,Débit d'absorption spécifique (DAS),Détails d'interface,Empreinte carbone,Fonctionnalités,Fonctions,Fourni avec,Fournisseur de services,Garantie du fabricant,Graphique,Horloge améliorée (OC),Horloge boostée,Indice de réparabilité,Intelligence Apple,Interface mémoire,Jeu,Localisation,Logiciel(s) inclus,Matériaux de terres rares,Microsoft Copilot,Moniteur,Moteur graphique,Mémoire,Mémoire cache,Mémoire interne,Mémoire vidéo,Nombre de boutons,Nombre maximum de moniteurs,Normes environnementales,Noyaux CUDA,Performances,Poids,Processeur,Programme de ventes par le fabricant,Prêt pour la réalité virtuelle,RAM,Réseau,Réseaux,Résolution,Résolution maximale,Rétroéclairage du clavier,Services inclus,Stockage,Stockage optique,Support,Système d'exploitation,Système d'exploitation fourni,Système d'exploitation requis,Sécurité,Technologie de Plate-forme,Technologie de connectivité,Technologie de détection de mouvements,Transmission à large bande sans fil,Type,Type d'emballage,Type de Produit,Type de bus,Type de tarification,Unité de traitement neural (NPU),Vitesse de la mémoire,Webcam intégrée
11802313,Lenovo ThinkBook 16 G8 IAL 21SK,LENOVO,"Conception de charnière à 180 degrés - Intel Core Ultra 5 - 225U / jusqu'à 4.8 GHz - Win 11 Pro - Intel Graphics - 16 Go RAM - 512 Go SSD NVMe - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - gris arctique - clavier : Français - avec 1 an de support Premier Lenovo",1000.0,,,"16"" 1920 x 1200 / WUXGA @ 60 Hz",,,,,,,,,,,Français,Oui,,,,Gris arctique,,,,,,266 kg d'émissions de carbone,,,,,Garantie de base - 1 an - enlèvement et retour ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant,Intel Graphics,,,,,,,Langue : français / région : France,,,,,,16 Go DDR5 (1 x 16 GB),,,,,,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",,,1.7 kg,Intel Core Ultra 5 (Série 2) - 225U jusqu'à 4.8 GHz / 12 Mo Cache,Lenovo TopSeller,,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",,,Oui,1 an de support Premier Lenovo,512 Go SSD - NVMe,,,Win 11 Pro - Anglais/Français,,,"Firmware Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,,,,,Ordinateur portable - conception de charnière à 180 degrés,,,Intel AI Boost - jusqu'à 12 TOPS,,Oui
11830049,Dell Pro 14 PC14250,DELL,"Intel Core Ultra 5 - 235U / jusqu'à 4.9 GHz - vPro Enterprise - Win 11 Pro - Intel Graphics - 16 Go RAM - 512 Go SSD NVMe - 14"" IPS 1920 x 1200 (Full HD Plus) - Gigabit Ethernet - Wi-Fi 6E - argent platine - BTS - avec 1 an basique sur site",822.51,,,"14"" 1920 x 1200 / Full HD Plus @ 60 Hz - 162 ppi",,,,,3 cellules,,,,,,,,,,,Argent platine,,,,,,106 kg d'émissions de carbone,,,,,,Intel Graphics,,,,,,,,,,,,,16 Go DDR5 (1 x 16 GB),,,,,,"ENERGY STAR EPEAT Gold, EPEAT Climate+",,,1.36 kg,"Intel Core Ultra 5 (Série 2) - 235U / 2 GHz, jusqu'à 4.9 GHz / 12 Mo Cache",Dell Smart Selection,,,,"Bluetooth, 802.11a/b/g/n/ac/ax (Wi-Fi 6E), Gigabit Ethernet",,,Oui,1 an basique sur site,512 Go SSD - NVMe,,,Win 11 Pro,,,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",Intel vPro Enterprise,,,,,,Ordinateur portable,,Build To Stock (BTS),Intel AI Boost - jusqu'à 12 TOPS,,Oui
11471720,HP/15-fd0122nf,HP INC,HP/15-fd0122nf/Core i5-1334U 16GB DDR4 2DM 3200 1TB PCIe value Intel Iris Xe  W11 Home 15.6 FHD (1920x1080),674.1,,,"15.6"" 1920 x 1080 / Full HD",,,Application ImagePad,,3 cellules - jusqu'à 9.75 heures,,,,,,Français,Oui,,,,Argent naturel,,,,,,,,,,,Garantie limitée - pièces et main d'oeuvre - 1 an,Carte graphique Intel Iris Xe,,,5.7 (sur 10),,,,Langue : français / région : France,,,,,,16 Go LPDDR5 (2 x 8 Go (non accessible au client/évolutif)),,,,,,ENERGY STAR EPEAT Gold,,,1.59 kg,Intel Core i5 (13ème génération) - i5-1334U jusqu'à 4.6 GHz / 12 Mo Cache,,,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3",,,,,1 To SSD - NVMe,,,Win 11 Home - Anglais/Français,,,,,,,,,,Ordinateur portable,,,,,Oui
11802318,Lenovo ThinkBook 16 G8 IAL 21SK,LENOVO,"Conception de charnière à 180 degrés - Intel Core Ultra 5 - 225U / jusqu'à 4.8 GHz - Win 11 Pro - Intel Graphics - 16 Go RAM - 512 Go SSD NVMe - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - double ton gris arctique - clavier : Français",894.12,,,"16"" 1920 x 1200 / WUXGA @ 60 Hz",,,,,Jusqu'à 13.1 heures,,,,,,Français,Oui,,,,Double ton gris arctique,,,,,,266 kg d'émissions de carbone,,,,,Garantie limitée - 1 an - enlèvement et retour,Intel Graphics,,,,,,,Langue : français / région : France,,,,,,16 Go DDR5 (1 x 16 GB),,,,,,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",,,1.7 kg,"Intel Core Ultra 5 (Série 2) - 225U / 1.5 GHz, jusqu'à 4.8 GHz / 12 Mo Cache",Lenovo TopSeller,,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",,,Oui,,512 Go SSD - NVMe,,,Win 11 Pro - français,,,"Firmware Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,,,,,Ordinateur portable - conception de charnière à 180 degrés,,,Intel AI Boost - jusqu'à 12 TOPS,,Oui
11802303,Lenovo ThinkBook 14 G8 IAL 21SJ,LENOVO,"Conception de charnière à 180 degrés - Intel Core Ultra 5 - 225U / jusqu'à 4.8 GHz - Win 11 Pro - Intel Graphics - 16 Go RAM - 512 Go SSD NVMe - 14"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - gris arctique - clavier : Français - avec 2 ans de support Lenovo Depot",894.12,,,"14"" 1920 x 1200 / WUXGA @ 60 Hz",,,,,,,,,,,Français,,,,,Gris arctique,,,,,,,,,,,Garantie de base - 1 an - enlèvement et retour ¦ Garantie limitée - batterie - 1 an ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 2 ans - enlèvement et retour,Intel Graphics,,,,,,,Langue : français / région : France,,,,,,16 Go DDR5 (1 x 16 GB),,,,,,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",,,1.36 kg,Intel Core Ultra 5 (Série 2) - 225U jusqu'à 4.8 GHz / 12 Mo Cache,Lenovo TopSeller,,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",,,Oui,2 ans de support Lenovo Depot,512 Go SSD - NVMe,,,Win 11 Pro - Anglais/Français,,,"Firmware Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,,,,,Ordinateur portable - conception de charnière à 180 degrés,,,Intel AI Boost - jusqu'à 12 TOPS,,Oui
11836936,Dell Pro Slim QCS1250,DELL,"Ordinateur de bureau mince Core Ultra 5 235 / jusqu'à 5 GHz - RAM 16 Go - SSD 512 Go - NVMe - Intel Graphics - Gigabit Ethernet, Bluetooth, IEEE 802.11ax (Wi-Fi 6E) - Win 11 Pro - moniteur : aucun - noir - BTS - avec 1 an de service de base sur site après diagnostic à distance avec support matériel uniquement - Disti SnS",725.39,,,,(50/60 Hz),,,,,24 Mo,,,14 fils,,,,,Intel Graphics mémoire vidéo partagée (UMA) - jusqu'à 6 TOPS,,Noir,,,SSD 512 Go - PCI Express x4 - M.2 2230 - NVM Express (NVMe),,,163 kg d'émissions de carbone,,,,,,,,,,,,,,Activez votre Microsoft 365 pour une période d'essai de 30 jours,,,,,,24 Mo,,,,,ENERGY STAR EPEAT Silver,,,3.9 kg,"Intel Core Ultra 5 (Série 2) 235 / 3.4 GHz (jusqu'à 5 GHz, (14 cœurs)",,,16 Go (installé) / 64 Go (maximum) - DDR5 SDRAM - non ECC,,"1GbE, Bluetooth, 802.11a, 802.11b/g/n, Wi-Fi 5, Wi-Fi 6E",,,,1 an de service de base sur site après diagnostic à distance avec support matériel uniquement - Disti SnS,,Pas de disque optique,,,Windows 11 Pro,,,,,,,Ordinateur personnel - ordinateur de bureau mince,,,,Build To Stock (BTS),Intel AI Boost - jusqu'à 13 TOPS,,
11830061,Dell Pro 16 PC16250,DELL,"Intel Core 5 - 120U / jusqu'à 5 GHz - Win 11 Pro - Intel Graphics - 16 Go RAM - 512 Go SSD NVMe - 16"" IPS 1920 x 1200 (Full HD Plus) - Gigabit Ethernet - Wi-Fi 6E - magnétite - avec 1 an basique sur site",761.34,,,"16"" 1920 x 1200 / Full HD Plus @ 60 Hz - 141 ppi",,,,,3 cellules,,,,,,,Oui,,,,Magnétite,,,,,,118 kg d'émissions de carbone,,,,,,Intel Graphics,,,,,,,,,,,,,16 Go DDR5 (1 x 16 GB),,,,,,"EPEAT Gold, EPEAT Climate+",,,1.92 kg,"Intel Core 5 (Série 1) - 120U / 1.4 GHz, jusqu'à 5 GHz / 12 Mo Cache",,,,,"Bluetooth, 802.11a/b/g/n/ac/ax (Wi-Fi 6E), Gigabit Ethernet",,,Oui,1 an basique sur site,512 Go SSD - NVMe,,,Win 11 Pro,,,Discrete Trusted Platform Module (TPM 2.0) Security Chip,,,,,,,Ordinateur portable,,,,,Oui
11452023,HP EliteBook 840 G7 (Reconditionné),HP INC,"Intel Core i5-10310U - Win 11 Pro - Intel Graphics - 16 Go RAM - 256 Go SSD - 14"" FullHD - Wi-Fi, Bluetooth - clavier : Français - Garantie 1/1/0",527.0,,,"14"" WLED 1920 x 1080 / Full HD @ 60 Hz",,,ClickPad,,3 cellules,,,,,,Français,,,,,,,,,,,,,Capteur à effet Hall,,,Garantie limitée - 1 an ¦ Garantie limitée - batterie - 1 an,Intel UHD Graphics,,,8.2 (sur 10),,,,Langue : français / région : France,,,,,,16 Go DDR4 (2 x 8 Go),,,,,,ENERGY STAR,,,1.33 kg,"Intel Core i5 (10ème génération) - 10310U / 1.7 GHz, jusqu'à 4.4 GHz / 6 Mo Cache",,,,,"802.11a/b/g/n/ac/ax, Bluetooth 5.2",,,Oui,,"256 Go SSD - NVMe, TLC",,,Win 11 Pro - Anglais/Français,,,"Trusted Platform Module (TPM 1.2) and firmware (TPM 2.0), lecteur d'empreintes digitales",,,,,,,Ordinateur portable,,Reconditionné certifié,,,Oui
11830310,HP EliteBook 8 G1i Notebook AI,HP INC,"Conception de charnière à 174 degrés - Intel Core Ultra 5 - 225U / jusqu'à 4.8 GHz - Win 11 Pro - Intel Graphics - 16 Go RAM - 512 Go SSD NVMe - 16"" IPS 1920 x 1200 - Wi-Fi 7, Bluetooth - argent glacé - clavier : Français - avec HP Carbon Neutral Computing Services - Laptop Doorstep Service - avec HP Wolf Pro Security Editi",1499.0,,,"16"" WLED 1920 x 1200 / WUXGA @ 60 Hz",,,ClickPad,,3 cellules,,,,,,Français,Oui,,,,Argent glacé,,,,,,,,"Détecteur de lumière ambiante, capteur à effet Hall, HP Tamper Lock, capteur de couleur, capteur thermique, HP Sure Platform",HP Wolf Pro Security Edition (1 an),,,Intel Graphics,,,8.8 (sur 10),,,,Langue : français / région : France,,,Yes,,,16 Go DDR5 (1 x 16 GB),,,,,,"ENERGY STAR EPEAT Gold, EPEAT Climate+",,,1.69 kg,"Intel Core Ultra 5 (Série 2) - 225U / 1.5 GHz, jusqu'à 4.8 GHz / 12 Mo Cache",HP Smart Buy,,,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4",,,Oui,HP Carbon Neutral Computing Services - Laptop Doorstep Service,512 Go SSD - NVMe,,,Win 11 Pro - Anglais/Français,,,"Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,,,,,Ordinateur portable - conception de charnière à 174 degrés,,,Intel AI Boost - jusqu'à 12 TOPS,,Oui
11533171,Acer Aspire Go 15 AG15-71P,ACER,"71P - Intel Core i5 - i5-1334U / jusqu'à 4.6 GHz - Win 11 Home - Carte graphique Intel Iris Xe - 8 Go RAM - 512 Go SSD QLC - 15.6"" 1920 x 1080 (Full HD) - Wi-Fi 6 - Argent pur - clavier : Français",525.0,,,"15.6"" 1920 x 1080 / Full HD",,,,,,,,,,,Français,Oui,,,,Argent pur,,,,1.02 W/kg (head) ¦ 1.02 W/kg (body) ¦ 1.02 W/kg (membre),,,,,,,Garantie limitée - 2 ans ¦ Garantie pour voyageurs internationaux - 1 an,Carte graphique Intel Iris Xe,,,,,,,Région : France,,,,,,8 Go DDR5 (1 x 8 GB),,,,,,,,,1.8 kg,"Intel Core i5 (13ème génération) - i5-1334U / 1.3 GHz, jusqu'à 4.6 GHz / 12 Mo Cache",,,,,"802.11a/b/g/n/ac/ax, Bluetooth",,,,,512 Go SSD - QLC,,,Win 11 Home,,,,,,,,,,Ordinateur portable,,,,,Oui
11802308,Lenovo ThinkBook 14 G8 IRL 21SG,LENOVO,"Intel Core i5 - 13420H / jusqu'à 4.6 GHz - Win 11 Pro - UHD Graphics - 16 Go RAM - 512 Go SSD NVMe - 14"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - gris arctique - clavier : Français - avec 1 an de support Premier Lenovo",823.53,,,"14"" 1920 x 1200 / WUXGA @ 60 Hz",,,,,,,,,,,Français,,,,,Gris arctique,,,,,,283 kg d'émissions de carbone,,,,,Garantie de base - 1 an - enlèvement et retour ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant,Intel UHD Graphics,,,8.6 (sur 10),,,,Langue : français / région : France,,,,,,16 Go DDR5 (1 x 16 GB),,,,,,"TCO Certified Notebooks 9, TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",,,1.36 kg,"Intel Core i5 (13ème génération) - 13420H / 2.1 GHz, jusqu'à 4.6 GHz / 12 Mo Cache",Lenovo TopSeller,,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",,,Oui,1 an de support Premier Lenovo,512 Go SSD - NVMe,,,Win 11 Pro - Anglais/Français,,,"Firmware Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,,,,,Ordinateur portable,,,,,Oui
