id,nom,marque,caracteristiques,prix,Accessoires inclus,Alimentation,Alimentation redondante,Appareils intégrés,Bande cellulaire,Bande de fréquence,Batterie,Budget PoE,Caméras IP prises en charge,Capacité,Capacité d'alimentation,Caractéristiques,Catégorie,Compatibilité TTA,Configuration requise,Connecteur,Connecteur (deuxième extrémité),Connecteurs,Connecteurs (deuxième extrémité),Connecteurs d'entrée,Conçu pour,Couleur,Courant électrique max.,Câble,Dimensions d'ordinateur portable prises en charge,Disque dur,Disque(s) dur(s) pris en charge,Distance de transfert max.,Débit de transfert de données,Débit de transfert max.,Détails du dispositif d'alimentation,Fonctionnalité VoIP,Fonctionne avec Chromebook,Fonctions,Format,Format de compression,Fourni avec,Fréquence d'images,Garantie du fabricant,Génération,Hauteur (unités de rack),Informations sur la licence,Interface de station d'accueil,Interfaces de téléphonie,Interfaces vidéo,Intérieur / Extérieur,Localisation,Longueur,Longueur du câble,Matériau du produit,Moyen de transmission,Mémoire flash,Nbre de licences,Nombre d'utilisateurs KVM,Nombre de modules de serveurs lames pris en charge,Nombre de ports,Nombre de ports WAN,Normes de conformité,Normes environnementales,Performances,Poids,Ports,Ports auxiliaires,Positionnement/montage,Power Over Ethernet (PoE),Prise en charge de l'alimentation sous Ethernet (PoE),Prise en charge fournie,Processeur,Programme d'octroi de licences,Programme de ventes par le fabricant,Protocole cellulaire,Protocole de Routage,Protocole de gestion à distance,Protocole de liaison de données,Protocole réseau / transport,Protocoles VoIP,Périphérique d'alimentation,Quantité emballée,RAM,Référence équivalente à celle du fabricant d'origine,Réseaux,Résolution d'image,Services inclus,Sous-type,Support de cadre Jumbo,Système TV,Système d'exploitation requis,Taille de la table d'adresses MAC,Tarification de licence,Technologie,Tension,Tension d'entrée,Tension de sortie,Tension fournie,Tension requise,Type,Type d'interface (bus),Type de Produit,Type de boîtier,Type de câblage,Type de fibres optiques,Type de mise à niveau,Type de mémoire,Type de prise,Type de tarification,Vitesse,Vérification de l'Intégrité des Données
4873964,D-Link DGS 1005P,D-LINK,Link DGS 1005P - Commutateur - 5 x 10/100/1000 (4 PoE+) - de bureau - PoE+ (60 W),60.21,,,,,,,,60 W,,,,"Filtrage des paquets, stockage et retransmission, auto-uplink (MDI/MDI-X auto), EEE, sans ventilateur",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie de 2 ans,,,,,,,,,,,,,,,,,,,"IEEE 802.3af, IEEE 802.3at, IEEE 802.3, IEEE 802.1p, IEEE 802.3ab, IEEE 802.3u, IEEE 802.3x, IEEE 802.3az",,"Vitesse de changement de tissu: 10 Gbps ¦ Taux de transfert: 7,44 Mpps ¦ Vitesse de changement de tissu: 10 Gbps",260 g,5 x 10/100/1000 (4 PoE+),,,PoE+,,,,,,,,,,,,,,,,,,,Gigabit Ethernet,,,,2 000 entrées,,,,,,,,,,,,,,,,,,,
2359466,D-Link DES 108,D-LINK,Link DES 108 - Commutateur - 8 x 10/100 - de bureau,29.87,,,,,,,,,,,,"Auto-négociation, auto-uplink (MDI/MDI-X auto)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE 802.3x,,,,8 x 10/100,,,,,,,,,,,,,,,,,,,,,,Fast Ethernet,,,,,,,,,,,,,,,,,,,,,,,
7451226,8-Port PoE Gigabit Smart Managed Switch,D-LINK,Link DGS 1100-08PV2 - Commutateur - intelligent - 8 x 10/100/1000 (PoE) - de bureau - PoE (64 W),115.32,,CA 120/230 V (50/60 Hz),,,,,,64 W,,,,"Auto-négociation, mode duplex intégral, mode semi-duplex, auto-uplink (MDI/MDI-X auto), tampon de paquet 1,5 MB, sans ventilateur, prise en charge du réseau local (LAN) virtuel, contrôle du flux, IGMP snooping, détection de bouclage, fonction de diagnostic de câble, QoS, contrôle de la bande passante, DSCP based QoS, mise en miroir des ports, technologie D-Link Green, Layer 2 switching, WRR, prise en charge d'ARP, contrôle de la tempête de Broadcast, Multicast Storm Control, Unicast Storm Control",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie limitée à vie,,,,,,,,,,,,,,,,,,,"IEEE 802.3, IEEE 802.3u, IEEE 802.3ab, IEEE 802.3af, IEEE 802.3at, IEEE 802.3x, IEEE 802.3az, IEEE 802.1Q, IEEE 802.1p",,"Capacité de commutation: 16 Gbps ¦ Perrformances de transfert: 11,9 Gbps",430 g,8 x 10/100/1000 (PoE),,,PoE,,,,,,,,HTTP,,,,,,,,,,,Gigabit Ethernet,9216 octets,,,4 000 entrées,,,,,,,,,,,,,,,,,,,
2157952,D-Link DGS 1008P,D-LINK,Link DGS 1008P - Commutateur - non géré - 4 x 10/100/1000 (PoE) + 4 x 10/100/1000 - de bureau - PoE,75.76,,,,,,,,,,,,"Contrôle du flux, Fonction duplex intégral, auto-négociation, auto-uplink (MDI/MDI-X auto), filtrage des paquets, stockage et retransmission, QoS, support d'images étendues, Green Ethernet, fonction de diagnostic de câble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IEEE 802.3, IEEE 802.3u, IEEE 802.3ab, IEEE 802.1p, IEEE 802.3af, IEEE 802.3x",,,,4 x 10/100/1000 (PoE) + 4 x 10/100/1000,,,PoE,,,,,,,,,,,,,,,,,,,Gigabit Ethernet,,,,4 000 entrées,,,,,,,,,,,,,,,,,,,
7789318,HPE Networking Instant On 1930 48G Class4 PoE 4SFP/SFP+ 370W Switch,HP ENT,Commutateur - C3 - Géré - 48 x 10/100/1000 (PoE) + 4 x 1 Gigabit / 10 Gigabit SFP+ - Montable sur rack - PoE (370 W),1082.0,,CA 100-127/200-240 V (50/60 Hz),,,,,,370 W,,"Lien de ports d'agrégation: 8 ¦ Routes IPv4 (statiques): 32 ¦ Prise en charge de VLAN: 256 ¦ Access Control Entries (ACEs) per ACL: 480 ¦ Taille de tampon de paquet: 1,5 Mo",,"Contrôle du flux, compatible DHCP, prise en charge d'ARP, prise en charge du réseau local (LAN) virtuel, auto-uplink (MDI/MDI-X auto), IGMP snooping, prise en charge d'IPv6, mode semi-duplex, mode duplex intégral, Prise en charge de STP, Prise en charge MSTP, prise en charge d'ACL, QoS, TPM, prise en charge LLDP, LACP, Energy Efficient Ethernet, CoS, BPDU Filter, PoE Class 4",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie limitée à vie,,,,,,,,Anglais / Europe,,,,,,,,,,,"IEEE 802.3, IEEE 802.3u, IEEE 802.1D, IEEE 802.1Q, IEEE 802.3ab, IEEE 802.1p, IEEE 802.3af, IEEE 802.3x, IEEE 802.3ad (LACP), IEEE 802.1w, IEEE 802.1x, IEEE 802.1s, IEEE 802.1ab (LLDP), IEEE 802.3at, IEEE 802.3az, IEEE 802.2af",,"Capacité de commutation: 176 Gbps ¦ Débit: 130,95 Mpps ¦ Latence (1 Gops): 2.2 µs ¦ Latence (10 Gops): 1.2 µs",4.52 kg,48 x 10/100/1000 (PoE) + 4 x 1 Gigabit / 10 Gigabit SFP+,,,PoE,,,,,,,Routage IP statique,"SNMP 1, RMON, SNMP 3, SNMP 2c, HTTP, HTTPS, TFTP, RADIUS",,,,,,,,,,,Gigabit Ethernet,9216 octets,,,16 000 entrées,,,,,,,,,,,Montable sur rack 1U,,,,,,,,
2332202,TP-LINK 5-Port 10/100 Switch Desktop,TP-LINK,TP-LINK 5-Port 10/100 Switch Desktop,8.58,,(50/60 Hz),,,,,,,,,,"Auto-négociation, auto-uplink (MDI/MDI-X auto), stockage et retransmission",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie de 2 ans,,,,,,,,,,,,,,,,,,,"IEEE 802.3, IEEE 802.3u, IEEE 802.3x",,,,5 x 10/100,,,,,,,,,,,,,,,,,,,,,,Fast Ethernet,,,,1 000 entrées,,,,,,,,,,,,,,,,,,,
4979954,Cisco Catalyst 9200L,CISCO,Network Essentials - commutateur - C3 - 24 x 10/100/1000 (PoE+) + 4 x Gigabit SFP (liaison montante) - Montable sur rack - PoE+ (740 W),2803.54,,CA 100-240 V (50 - 60 Hz),En option,,,,,740 W,,Réseaux virtuels: 1 ¦ Routes IPv4: 11000 ¦ Entrées de table de routage IPv4: 3000 ¦ Entrées de table de routage IPv6: 1500 ¦ Échelle de multidiffusion: 1000 ¦ Entrées d'échelle ACL: 1500 ¦ Entrées FNF: 16000 ¦ Prise en charge de VLAN: 1024 ¦ Interfaces virtuelles commutées (SVI): 512 ¦ Files d'attente matérielles QoS par port: 8,,"QoS, technologie Cisco StackWise, Rapid PVST+, SRR, prise en charge de PXE, RSPAN, NetFlow, Energy Efficient Ethernet, MIB, CoS, FNF, authentification 802.1x, prise en charge DSCP, prise en charge de MACsec, tampon de paquet 6 MB, CoPP, SPAN, EEM, PIM, FHS, support PVLAN, CIR",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie limitée à vie,,,,,,,,,,,,,,,,,,,"IEEE 802.3, IEEE 802.3u, IEEE 802.3z, IEEE 802.1D, IEEE 802.1Q, IEEE 802.3ab, IEEE 802.1p, IEEE 802.3af, IEEE 802.3x, IEEE 802.3ad (LACP), IEEE 802.1w, IEEE 802.1x, IEEE 802.1s, IEEE 802.3at",,"Bande passante d'empilage: 80 Gbps ¦ Capacité de commutation: 56 Gbps ¦ Taux de transfert: 83,33 Mpps",4.35 kg,24 x 10/100/1000 (PoE+) + 4 x Gigabit SFP (liaison montante),,,PoE+,,,,,,,"OSPF, RIP-1, RIP-2, EIGRP, VRRP, PIM-SM, EIGRP for IPv6, PIM-SSM, routage à base de règles (PBR), RIPng, MSTP","SNMP 1, RMON 1, RMON 2, SNMP 3, SNMP 2c, CLI, NETCONF, RESTCONF",,,,,,,,,,,Gigabit Ethernet,9198 octets,,,16 000 entrées,,,,,,,,,,,Montable sur rack,,,,,,,,
4651973,Zyxel GS1200-5,ZYXEL,5 - Commutateur - Géré - 5 x 10/100/1000 - de bureau,13.25,,,,,,,,,,Groupes de multidiffusion: 128,,"QoS, IGMP snooping, prise en charge du réseau local (LAN) virtuel, possibilité d'évolution vers de nouveaux micrologiciels, Energy Efficient Ethernet, contrôle du flux, CoS, auto-uplink (MDI/MDI-X auto), balisage VLAN, contrôle de la tempête de Broadcast, File d'attente WRR, mémoire tampon de 128 Ko, prévention des boucles, mise en miroir des ports, WRR, QoS basé sur le port, sans ventilateur, boîtier métallique, montage mural possible, Link Aggregation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,"IEEE 802.3u, IEEE 802.3ab, IEEE 802.3az, IEEE 802.3x, IEEE 802.3z, IEEE 802.1p, IEEE 802.1Q",,Capacité de commutation: 10 Gbps,233 g,5 x 10/100/1000,,,,,,,,,,"IGMP, IGMPv2, IGMPv3",HTTP,,,,,,,,,,,Gigabit Ethernet,9KB,,,2 000 entrées,,,,,,,,,,,,,,,,,,,
1002253,D-Link DGS 1016D,D-LINK,Link DGS 1016D - Commutateur - 16 x 10/100/1000 - de bureau,94.21,,,,,,,,,,,,"Contrôle du flux, Fonction duplex intégral, auto-détection par dispositif, auto-uplink (MDI/MDI-X auto)",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie de 2 ans,,,,,,,,Europe continentale,,,,,,,,,,,IEEE 802.3x,,,,16 x 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Gigabit Ethernet,,,,,,,,,,,,,,,,,,,,,,,
1002247,D-Link DGS 1005D,D-LINK,Link DGS 1005D - Commutateur - non géré - 5 x 10/100/1000 - de bureau,21.79,,,,,,,,,,,,"Contrôle du flux, Fonction duplex intégral, auto-négociation, auto-uplink (MDI/MDI-X auto), filtrage des paquets, stockage et retransmission, mode semi-duplex, QoS, support d'images étendues, fonction de diagnostic de câble, technologie D-Link Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,"IEEE 802.3, IEEE 802.3u, IEEE 802.3ab, IEEE 802.1p, IEEE 802.3x",ENERGY STAR,,,5 x 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Gigabit Ethernet,,,,4 000 entrées,,,,,,,,,,,,,,,,,,,
5448124,Cisco,CISCO,Module d'empilage réseau (pack de 2) - pour Catalyst 9300L,1390.0,,,,,,,,,,,,,,,,,,,,,Catalyst 9300L,,,,,,,,,,,,,,Module enfichable,,,,,,,,,,,,,,,,,,,,,,,,,Largeur de bande: 320 Gbits/s,,,,,,,,,,,,,,,,,,2 (les spécifications se rapportent à un seul article),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
